date	sedentary	moderate	active
2018-07-05	458	252	61
2018-07-06	551	351	37
2018-07-07	463	353	57
2018-07-08	693	174	10
2018-07-09	675	368	52
2018-07-10	765	237	13
2018-07-11	802	206	31
2018-07-12	1,153	147	13
2018-07-13	1,117	184	23
2018-07-14	600	402	27
2018-07-15	694	247	18
2018-07-16	810	205	0
2018-07-17	609	262	17
2018-07-18	911	214	0
2018-07-19	467	319	39
2018-07-20	681	358	7
2018-07-21	750	335	16
2018-07-22	780	270	30
2018-07-23	494	329	33
2018-07-24	477	319	36
2018-07-25	620	265	69
2018-07-26	1,252	103	4
2018-07-27	1,039	327	47
2018-07-28	752	269	0
2018-07-29	1,189	169	6
2018-07-30	764	201	47
2018-07-31	656	263	22
2018-08-01	833	215	15
2018-08-02	679	252	17
2018-08-03	727	301	18
2018-08-04	574	228	22
