Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-07-05","3,436","8,010","3.35","9","458","252","61","33","1,904"
"2018-07-06","3,910","14,238","6.02","9","551","351","37","59","2,493"
"2018-07-07","3,928","14,053","5.85","12","463","353","57","58","2,565"
"2018-07-08","2,957","7,289","3.06","2","693","174","10","56","1,376"
"2018-07-09","3,936","15,026","6.39","9","675","368","52","57","2,536"
"2018-07-10","3,224","12,352","5.39","5","765","237","13","40","1,607"
"2018-07-11","2,881","7,845","3.29","5","802","206","31","18","1,262"
"2018-07-12","2,563","5,712","1.74","1","1,153","147","13","5","836"
"2018-07-13","2,777","4,555","1.88","2","1,117","184","23","6","1,036"
"2018-07-14","4,602","23,089","9.97","17","600","402","27","79","2,620"
"2018-07-15","2,800","6,574","2.73","10","694","247","18","5","1,222"
"2018-07-16","2,597","5,342","2.18","6","810","205","0","0","905"
"2018-07-17","3,674","16,335","7.14","12","609","262","17","86","2,103"
"2018-07-18","2,594","3,607","1.35","1","911","214","0","0","916"
"2018-07-19","3,675","15,462","6.54","19","467","319","39","57","2,198"
"2018-07-20","3,202","8,375","3.33","5","681","358","7","1","1,666"
"2018-07-21","3,428","10,230","4.27","8","750","335","16","15","1,781"
"2018-07-22","3,005","9,757","4.27","4","780","270","30","15","1,477"
"2018-07-23","3,219","9,072","3.75","4","494","329","33","8","1,732"
"2018-07-24","3,218","9,372","3.91","20","477","319","36","3","1,724"
"2018-07-25","3,538","12,742","5.57","28","620","265","69","29","1,976"
"2018-07-26","2,429","4,400","1.27","7","1,252","103","4","8","551"
"2018-07-27","4,250","12,468","5.1","13","1,039","327","47","27","1,963"
"2018-07-28","2,821","5,178","2.11","2","752","269","0","0","1,206"
"2018-07-29","2,917","9,779","4.49","23","1,189","169","6","44","1,253"
"2018-07-30","3,403","16,166","7.03","3","764","201","47","67","1,799"
"2018-07-31","2,948","7,375","2.96","7","656","263","22","0","1,349"
"2018-08-01","2,946","10,310","4.51","11","833","215","15","35","1,354"
"2018-08-02","3,187","11,494","4.84","4","679","252","17","40","1,602"
"2018-08-03","3,348","14,189","6.09","10","727","301","18","37","1,810"
"2018-08-04","3,754","8,572","3.36","17","574","228","22","93","2,152"

